wikitree_id,name,first_name,middle_name,last_name_at_birth,birth_date,birth_year,birth_location,death_date,death_year,death_location,wikitree_url
Mansfield-158,John,John,,Mansfield,1601-00-00,1601,England,1674-06-26,1674,"Charlestown, Middlesex, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Mansfield-158
Manwaring-299,Oliver,Oliver,,Manwaring,1634-00-00,1634,"Dawlish, Devon, England",1723-11-03,1723,"New London, Connecticut Colony",https://www.wikitree.com/wiki/Manwaring-299
Marbury-2,Anne,Ann,,Marbury,1591-07-20,1591,"Alford, Alford Parish, Lincolnshire, England",1643-08-20,1643,"Annie's Hoeck, New Netherland",https://www.wikitree.com/wiki/Marbury-2
Marbury-22,Katherine,Katherine,,Marbury,1611-00-00,1611,England,1687-05-02,1687,"Newport, Newport, Rhode Island",https://www.wikitree.com/wiki/Marbury-22
Marshall-128,Elizabeth,Elizabeth,,Marshall,1596-00-00,1596,England,1640-10-08,1640,Province of Maine,https://www.wikitree.com/wiki/Marshall-128
Mauleverer-17,Anne,Anne,,Mauleverer,1678-04-26,1678,"West Ayton, Yorkshire, England",1754-02-19,1754,"Chesterfield, Burlington, New Jersey",https://www.wikitree.com/wiki/Mauleverer-17
More-108,Richard,Richard,,More,1614-11-13,1614,"Shipton, Shropshire, England",1696-04-20,1696,"Salem, Essex, Province of Massachusetts Bay, New England",https://www.wikitree.com/wiki/More-108
Need-13,Joseph,Joseph,,Need,1649-02-14,1649,"Arnold, Nottinghamshire, England",1741-06-15,1741,"Darby, Chester, Pennsylvania",https://www.wikitree.com/wiki/Need-13
Need-3,Mary,Mary,,Need,1645-12-12,1645,"Arnold, Nottinghamshire, England",1709-00-00,1709,"Darby, Chester, Pennsylvania",https://www.wikitree.com/wiki/Need-3
Nelson-804,John,John,,Nelson,1653-00-00,1653,"London, England",1734-11-15,1734,"Boston, Massachusetts Bay",https://www.wikitree.com/wiki/Nelson-804
Nelson-7430,Margaret,Margaret,,Nelson,1645-00-00,1645,England,1696-00-00,1696,Colony of Virginia,https://www.wikitree.com/wiki/Nelson-7430
Nelson-696,Philip,Philip,,Nelson,1635-01-22,1635,"Cottingham, Yorkshire, England",1691-08-19,1691,"Rowley, Essex County, Massachusetts Bay Province",https://www.wikitree.com/wiki/Nelson-696
Nelson-3897,Thomas,Thomas,,Nelson,1636-07-14,1636,"Cottingham, Yorkshire, England",1712-04-05,1712,"Rowley, Essex, Province of Massachusetts Bay",https://www.wikitree.com/wiki/Nelson-3897
Owen-1078,Elizabeth,Elizabeth,,Owen,1667-00-00,1667,"Llwyn Du, Llwyngyril, Merionethshire, Wales",1699-10-31,1699,"Merion Township, Philadelphia, Pennsylvania",https://www.wikitree.com/wiki/Owen-1078
Owen-546,Joshua,Joshua,,Owen,1671-00-00,1671,"Llangelynin, Merioneth, Wales",1728-03-14,1728,"Springfield, Burlington, New Jersey",https://www.wikitree.com/wiki/Owen-546
Owen-3401,Rebecca,Rebecca,,Owen,1663-00-00,1663,"Llwyn-du (in Llwyngwril, par. Llangelynin), Merioneth, Wales",1697-08-23,1697,"Merion, Montgomery County, Pennsylvania",https://www.wikitree.com/wiki/Owen-3401
Owsley-29,Thomas,Thomas,,Owsley,1658-06-11,1658,"Stogursey, Somerset, England",1700-10-10,1700,"Stafford County, Colony of Virginia",https://www.wikitree.com/wiki/Owsley-29
Oxenbridge-28,John,John,,Oxenbridge,1609-01-30,1609,"Daventry, Northamptonshire, England",1674-12-28,1674,"Boston, Suffolk, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Oxenbridge-28
Palgrave-4,Richard,Richard,,Palgrave,1585-00-00,1585,"Norfolk, England",1651-08-08,1651,"Charlestown, Middlesex County, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Palgrave-4
Pelham-27,Herbert,Herbert,,Pelham,1600-00-00,1600,"Sussex, England",1674-07-01,1674,"Bures, Essex, England",https://www.wikitree.com/wiki/Pelham-27
Peyton-434,Robert,Robert,,Peyton,1640-00-00,1640,"Norfolk, England",1696-11-24,1696,"Gloucester County, Virginia",https://www.wikitree.com/wiki/Peyton-434
Rainsford-3,Edward,Edward,,Rainsford,1609-09-10,1609,"Staverton, Northamptonshire, England",1680-08-16,1680,"Boston, Suffolk County, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Rainsford-3
Randolph-112,Henry,Henry,,Randolph,1623-11-27,1623,"Little Houghton, Northamptonshire, England",1673-00-00,1673,"Henrico County, Colony of Virginia",https://www.wikitree.com/wiki/Randolph-112
Randolph-94,William,William,,Randolph,1650-00-00,1650,"Moreton-Morrell, Warwickshire, England",1711-04-21,1711,"Turkey Island, Henrico County, Colony of Virginia",https://www.wikitree.com/wiki/Randolph-94
Reade-10,George,George,,Reade,1608-10-25,1608,"Linkenholt, Hampshire, England",1671-11-20,1671,"York, Virginia",https://www.wikitree.com/wiki/Reade-10
Rodney-121,John,John,,Rodney,1633-00-00,1633,"Catcott, Somerset, England",1694-12-12,1694,Pennsylvania,https://www.wikitree.com/wiki/Rodney-121
Rodney-57,William,William,,Rodney,1661-03-14,1661,"Bristol, England",1708-09-08,1708,"Kent County, Delaware",https://www.wikitree.com/wiki/Rodney-57
Rudyard-1,Thomas,Thomas,,Rudyard,1640-10-25,1640,"Leek, Staffordshire,  England",1692-11-02,1692,"Saint Michael, Barbados",https://www.wikitree.com/wiki/Rudyard-1
Saltonstall-27,Richard,Richard,,Saltonstall,1610-10-01,1610,"Yorkshire, England",1694-04-29,1694,"Hulme, Lancashire, England",https://www.wikitree.com/wiki/Saltonstall-27
Scott-723,Dorothea,Dorothea,,Scott,1629-01-30,1629,"Canterbury, Kent, England",1688-04-10,1688,"Oyster Bay, Queens, New York Colony",https://www.wikitree.com/wiki/Scott-723
Skepper-17,William,William,,Skepper,1597-11-27,1597,"Boston, Lincolnshire, England",1646-00-00,1646,"Lynn, Essex County, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Skepper-17
Skipwith-11,Anne,Anne,,Skipwith,1642-00-00,1642,England,1723-04-03,1723,"Philadelphia, Pennsylvania",https://www.wikitree.com/wiki/Skipwith-11
Skipwith-64,Diana,Diana,,Skipwith,1621-05-27,1621,"Prestwold, Leicestershire, England",1696-07-31,1696,"St Marys White Chapel Parish, Lancaster County, Virginia Colony",https://www.wikitree.com/wiki/Skipwith-64
Skipwith-82,Grey,Grey,,Skipwith,1623-01-23,1623,"Prestwold, Leicestershire, England",1671-05-23,1671,Virginia,https://www.wikitree.com/wiki/Skipwith-82
Somerset-57,Maria Johanna,Maria Johanna,,Somerset,1666-00-00,1666,England,1698-00-00,1698,Maryland,https://www.wikitree.com/wiki/Somerset-57
Stockman-96,John,John,,Stockman,1645-12-15,1645,"Whiteparish, Wiltshire, England",1686-12-10,1686,"Salisbury, Essex, Massachusetts Bay",https://www.wikitree.com/wiki/Stockman-96
Stoughton-56,Rose,Rose,,Stoughton,1629-11-22,1629,"Worplesdon, Surrey, England",1677-07-03,1677,"Dover, New Hampshire",https://www.wikitree.com/wiki/Stoughton-56
Taylor-28342,James,James,,Taylor,1647-04-21,1647,"Kent, England",1716-07-29,1716,"Lynn, Essex, Massachusetts Bay",https://www.wikitree.com/wiki/Taylor-28342
Terry-637,Stephen,Stephen,,Terry,1608-08-25,1608,"Stockton, Wiltshire, England",1668-09-00,1668,"Hadley, Hampshire, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Terry-637
Throckmorton-110,John,John,,Throckmorton,1601-05-09,1601,"Norwich, Norfolk, England",1684-04-25,1684,"Middletown, Monmouth, New Jersey",https://www.wikitree.com/wiki/Throckmorton-110
Torrey-93,Samuel,Samuel,,Torrey,1632-00-00,1632,"Combe St Nicholas, Somerset, England",1707-04-21,1707,"Weymouth, Suffolk, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Torrey-93
Torrey-91,William,William,,Torrey,1638-00-00,1638,"Combe St Nicholas, Somerset, England",1718-01-11,1718,"Weymouth, Suffolk, Province of Massachusetts Bay",https://www.wikitree.com/wiki/Torrey-91
Touteville-1,Margaret,Margaret,,Touteville,1606-08-03,1606,"Hunmanby, Yorkshire, England",1636-02-00,1636,"Cambridge, Suffolk, Massachusetts Bay Colony",https://www.wikitree.com/wiki/Touteville-1
Towneley-1,Mary,Mary,,Towneley,1614-05-15,1614,"Colne, Lancashire, England",1662-08-11,1662,"Warner Hall, Gloucester, Colony of Virginia",https://www.wikitree.com/wiki/Towneley-1
Townley-43,Lawrence,Lawrence,,Townley,1640-02-02,1640,"Colne, Lancashire, England",0000-00-00,,"Gloucester County, Virginia",https://www.wikitree.com/wiki/Townley-43
Tyndal-6,Margaret,Margaret,,Tyndal,1591-00-00,1591,"Essex, England",1647-06-14,1647,"Boston, Suffolk, Massachusetts Bay",https://www.wikitree.com/wiki/Tyndal-6
Waldegrave-103,Jemima,Jemima,,Waldegrave,1606-00-00,1606,"Essex, England",1639-00-00,1639,,https://www.wikitree.com/wiki/Waldegrave-103
Washington-80,John,John,,Washington,1634-00-00,1634,England,1677-09-26,1677,"Washington Parish, Westmoreland County, Colony of Virginia",https://www.wikitree.com/wiki/Washington-80
Washington-305,Lawrence,Lawrence,,Washington,1635-06-23,1635,"Tring, Hertfordshire, England",1677-04-00,1677,"Old Rappahannock County, Colony of Virginia",https://www.wikitree.com/wiki/Washington-305
Welby-8,Olive,Olive,,Welby,1604-06-17,1604,"Moulton, Lincolnshire, England",1692-03-01,1692,"Chelmsford, Middlesex, Province of Massachusetts Bay",https://www.wikitree.com/wiki/Welby-8
Wentworth-145,William,William,,Wentworth,1616-03-15,1616,"Alford, Lincolnshire, England",1697-03-15,1697,"Dover, Strafford County, New Hampshire",https://www.wikitree.com/wiki/Wentworth-145
West-5619,Elizabeth,Elizabeth,,West,1595-00-00,1595,England,1640-00-00,1640,"Middlesex, England",https://www.wikitree.com/wiki/West-5619
West-420,Francis,Francis,,West,1586-10-28,1586,England,1634-04-28,1634,Colony of Virginia,https://www.wikitree.com/wiki/West-420
West-424,John,John,,West,1590-12-14,1590,"Testwood, in Eling, Hampshire, England",1659-00-00,1659,"West Point Plantation, New Kent County, Colony of Virginia",https://www.wikitree.com/wiki/West-424
West-1807,Nathaniel,Nathaniel,,West,1592-11-30,1592,"Hampshire, England",1624-02-00,1624,"West Shirley Hundred, Colony of Virginia",https://www.wikitree.com/wiki/West-1807
West-418,Thomas,Thomas,,West,1577-07-09,1577,England,1618-06-07,1618,"Port La Hève, Acadia, Nouvelle France",https://www.wikitree.com/wiki/West-418
Whitaker-1842,Alexander,Alexander,,Whitaker,1585-00-00,1585,"Cambridge, Cambridgeshire, England",1617-08-04,1617,"James River, Virginia",https://www.wikitree.com/wiki/Whitaker-1842
Whitaker-966,Jabez,Jabez,,Whitaker,1595-12-06,1595,"Lambeth, Surrey, England",1651-00-00,1651,,https://www.wikitree.com/wiki/Whitaker-966
Wolseley-16,Mary,Mary,,Wolseley,1654-00-00,1654,England,1700-00-00,1700,Maryland,https://www.wikitree.com/wiki/Wolseley-16
Woodward-2351,Frances,Frances,,Woodward,1634-00-00,1634,England,1659-07-25,1659,England,https://www.wikitree.com/wiki/Woodward-2351
Woodward-1931,Sarah,Sarah,,Woodward,1627-09-05,1627,"London, England",1672-04-26,1672,Massachusetts Bay,https://www.wikitree.com/wiki/Woodward-1931
Worden-3,Peter,Peter,,Worden,1576-00-00,1576,"Clayton, Lancashire, England",1639-03-05,1639,"Yarmouth, Barnstable, Massachusetts",https://www.wikitree.com/wiki/Worden-3
Wyatt-366,Francis,Francis,,Wyatt,1588-00-00,1588,"Kent, England",1644-08-24,1644,"Boxley, Kent, England",https://www.wikitree.com/wiki/Wyatt-366
Wyatt-188,Haute,Hawte,,Wyatt,1594-06-04,1594,"Kent, England",1638-07-31,1638,"Boxley, Kent, England",https://www.wikitree.com/wiki/Wyatt-188
Wyche-34,Henry,Henry,,Wyche,1649-01-27,1649,"Sutton, Surrey, England",1714-03-18,1714,"Surry County, Virginia",https://www.wikitree.com/wiki/Wyche-34
Wyllys-6,Amy,Amy,,Wyllys,1625-00-00,1625,England,1699-01-09,1699,"Springfield, Massachusetts",https://www.wikitree.com/wiki/Wyllys-6
Yale-18,Thomas,Thomas,,Yale,1616-05-06,1616,"Chester, Cheshire, England",1683-03-27,1683,"New Haven, New Haven, Connecticut",https://www.wikitree.com/wiki/Yale-18
Yate-17,George,George,,Yate,1645-00-00,1645,England,1691-11-11,1691,Maryland,https://www.wikitree.com/wiki/Yate-17
